Fresno State,,,,true,CFB,Fresno State
Colorado,,,,true,CFB,Colorado
Kentucky,,,,true,CFB,Kentucky
Oregon State,,,,true,CFB,Oregon State
Hawaii,,,,true,CFB,Hawaii
Michigan State,,,,true,CFB,Michigan State
Utah,,,,true,CFB,Utah
Iowa,,,,true,CFB,Iowa
UCLA,,,,true,CFB,UCLA
Virginia,,,,true,CFB,Virginia
Ball State,,,,true,CFB,Ball State
Ohio State,,,,true,CFB,Ohio State
Illinois,,,,true,CFB,Illinois
Southern California,,,,true,CFB,Southern California
Western Michigan,,,,true,CFB,Western Michigan
Texas Tech,,,,true,CFB,Texas Tech
California,,,,true,CFB,California
South Florida,,,,true,CFB,South Florida
Northern Illinois,,,,true,CFB,Northern Illinois
Air Force,,,,true,CFB,Air Force
Arizona State,,,,true,CFB,Arizona State
Duke,,,,true,CFB,Duke
Florida,,,,true,CFB,Florida
Minnesota,,,,true,CFB,Minnesota
Georgia,,,,true,CFB,Georgia
Washington,,,,true,CFB,Washington
Central Florida,,,,true,CFB,Central Florida
Nebraska,,,,true,CFB,Nebraska
Louisiana-Monroe,,,,true,CFB,Louisiana-Monroe
Louisville,,,,true,CFB,Louisville
UTEP,,,,true,CFB,UTEP
Western Kentucky,,,,true,CFB,Western Kentucky
Minnesota U,,,,false,NFL,Minnesota Vikings
Miami Ohio,,,,false,CFB,Miami-Ohio
Arizona U,,,,false,NFL,Arizona Cardinals
Mississippi St,,,,false,CFB,Mississippi State
Middle Tenn St,,,,false,CFB,Middle Tennessee
Houston U,,,,false,NFL,Houston Texans
No Illinois,,,,false,CFB,Northern Illinois
Ohio,,,,false,CFB,Ohio University
Texas AM,,,,false,CFB,Texas A&M
Arizona St,,,,false,CFB,Arizona State
Kent,,,,false,CFB,Kent State
UL Monroe,,,,false,CFB,Louisiana-Monroe
Buffalo U,,,,false,NFL,Buffalo Bills
UL Lafayette,,,,false,CFB,Louisiana-Lafayette
Cincinnati U,,,,false,NFL,Cincinnati Bengals
